Symbol,Time
ARKF,2021-09-01T21:18:32.507251Z
ARKK,2021-09-01T21:17:20.782970Z
M2K,2021-09-01T21:15:56.631450Z
MES,2021-09-01T21:15:02.647549Z
MNQ,2021-09-01T21:14:14.837846Z
IWM,2021-09-01T04:03:31.335420Z
SPY,2021-09-01T04:02:48.734950Z
QQQ,2021-09-01T04:02:30.740722Z
ARKX,2021-09-01T04:01:39.104514Z
ARKF,2021-09-01T04:00:48.760786Z
ARKK,2021-09-01T04:00:31.379852Z
M2K,2021-09-01T03:59:37.256415Z
MES,2021-09-01T03:58:31.589974Z
MNQ,2021-09-01T03:57:31.533935Z
IWM,2021-08-30T22:27:50.119775Z
SPY,2021-08-30T22:26:49.942656Z
QQQ,2021-08-30T22:25:13.812065Z
ARKX,2021-08-30T22:24:02.081884Z
ARKF,2021-08-30T22:22:55.797774Z
ARKK,2021-08-30T22:21:49.975153Z
M2K,2021-08-30T22:20:19.860736Z
MES,2021-08-30T22:19:25.851736Z
MNQ,2021-08-30T22:18:31.812699Z
ARKF,2021-08-30T22:08:30.400909Z
ARKK,2021-08-30T22:07:24.746207Z
M2K,2021-08-30T22:06:06.573318Z
MES,2021-08-30T22:05:12.536697Z
MNQ,2021-08-30T22:04:24.794900Z
IWM,2021-08-27T23:39:34.350847Z
SPY,2021-08-27T23:38:33.683497Z
QQQ,2021-08-27T23:36:52.031422Z
ARKX,2021-08-27T23:35:40.102786Z
ARKF,2021-08-27T23:34:33.534915Z
ARKK,2021-08-27T23:33:10.045510Z
M2K,2021-08-27T23:31:51.655152Z
MES,2021-08-27T23:29:52.026554Z
MNQ,2021-08-27T23:28:04.391304Z
IWM,2021-08-27T03:15:24.417124Z
SPY,2021-08-27T03:14:54.374336Z
QQQ,2021-08-27T03:14:12.725281Z
ARKX,2021-08-27T03:13:24.112451Z
ARKF,2021-08-27T03:12:48.185015Z
ARKK,2021-08-27T03:12:12.931095Z
M2K,2021-08-27T03:11:24.520423Z
MES,2021-08-27T03:10:18.485713Z
MNQ,2021-08-27T03:09:12.872910Z
IWM,2021-08-26T01:49:58.892546Z
SPY,2021-08-26T01:49:05.202556Z
QQQ,2021-08-26T01:48:23.050745Z
ARKX,2021-08-26T01:47:59.016787Z
ARKF,2021-08-26T01:47:10.590049Z
ARKK,2021-08-26T01:46:29.137282Z
M2K,2021-08-26T01:45:59.407870Z
MES,2021-08-26T01:44:59.260698Z
MNQ,2021-08-26T01:43:59.607682Z
IWM,2021-08-24T21:43:51.627586Z
SPY,2021-08-24T21:42:39.185550Z
QQQ,2021-08-24T21:41:15.360747Z
ARKX,2021-08-24T21:40:03.465534Z
ARKF,2021-08-24T21:38:56.835749Z
ARKK,2021-08-24T21:37:51.509759Z
M2K,2021-08-24T21:36:33.615474Z
